"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
19647.2949772663,-167.441970825195
20582.8157178895,-168.18342590332
21562.8819828277,-168.869094848633
22589.6148407548,-169.571380615234
23665.2363566259,-170.222534179687
24792.074400692,-170.847869873047
25972.5676864983,-171.449615478516
27209.2710487714,-172.029357910156
28504.8609726167,-172.588851928711
29862.1413859926,-173.129638671875
31284.049727998,-173.653289794922
32773.663306106,-174.161193847656
34334.2059561012,-174.654693603516
35969.0550191364,-175.135284423828
37681.7486510054,-175.603775024414
39475.993479454,-176.061599731445
41355.6726260981,-176.509948730469
43324.8541103127,-176.949798583984
45387.7996532776,-177.382171630859
47548.9739012349,-177.808212280273
49813.0540879183,-178.228897094727
52184.9401570669,-178.645004272461
54669.7653669292,-179.057769775391
